canonical_name,context_count,degree,weighted_degree,betweenness_centrality,pagerank,community_id
徐晃,96,5,4.026682078838348,0.0578640971594901,0.02183196237818783,10
张郃,100,5,3.880471408367157,0.07999096657633246,0.020768888996210603,10
曹洪,71,5,3.861879289150238,0.020124460503864298,0.02090841667223838,10
刘备,100,5,3.7858607172966003,0.003267805164824135,0.018502439843969563,8
张昭,55,5,3.7409809827804565,0.10663741558050502,0.02296712532352984,11
魏延,100,5,3.7087920904159546,0.005610759811301816,0.01996746413407659,10
孙乾,77,5,3.6801825761795044,0.019636942401170043,0.01896680570180221,8
曹丕,67,5,3.6766388416290283,0.18127070159590486,0.023679157735736374,11
庞统,50,5,3.6592127084732056,0.060128188583473165,0.019004799299284492,8
司马徽,16,5,3.631430685520172,0.003267805164824135,0.017818599999199967,8
张松,25,5,3.619409441947937,0.013307810326780524,0.017957288674251,8
刘表,92,5,3.5497796535491943,0.05278817338437935,0.020205603688430034,5
许褚,76,4,3.2260871529579163,0.012320586168824648,0.018904722027272735,10
徐庶,25,4,3.0018373131752014,0.00040435324988170515,0.014968226300430423,8
华歆,32,4,2.9587270617485046,0.08179550049468749,0.01799663490268405,11
董卓,88,4,2.881863296031952,0.0012044564890093346,0.02308460837965951,6
诸葛瑾,35,4,2.8712456822395325,0.03576805609325934,0.016457179666464948,11
张辽,99,4,2.850624978542328,0.04368664057010941,0.018854090058476457,10
郭淮,55,4,2.81685870885849,0.155053698685135,0.016908130991708143,10
程昱,37,4,2.805785834789276,0.013600321188397067,0.016938651344217796,5
祢衡,12,4,2.7909600138664246,0.09153869316470943,0.015306543790373592,8
袁绍,100,4,2.779079556465149,0.01425273511994379,0.018401428441647348,5
董承,34,4,2.758513927459717,0.0012044564890093346,0.02214527140385825,6
荀彧,52,4,2.732492208480835,0.014051992371775566,0.016292223646408012,5
郭嘉,32,4,2.722033202648163,0.02272694684618803,0.01585958601192154,5
王平,62,4,2.633486747741699,0.028967178560674503,0.016070630757008944,10
